datetime,windspeed,winddir,stations,source
2023-01-01T00:00:00,18.4,220,"03680099999,03672099999",obs
2023-01-01T01:00:00,22.3,230,"03680099999,03672099999",obs
2023-01-01T02:00:00,27.7,240,"03680099999,03672099999",obs
2023-01-01T03:00:00,20.5,230,"03680099999,03672099999",obs
2023-01-01T04:00:00,18.4,230,"03680099999,03672099999",obs
2023-01-01T05:00:00,16.6,220,"03680099999,03672099999",obs
2023-01-01T06:00:00,18.4,220,"03680099999,03672099999",obs
2023-01-01T07:00:00,18.4,230,"03680099999,03672099999",obs
2023-01-01T08:00:00,18.4,220,"03680099999,03672099999",obs
2023-01-01T09:00:00,20.5,250,"03680099999,D4121,03672099999,03770099999",obs
2023-01-01T10:00:00,18.4,240,"03680099999,D4121,03672099999",obs
2023-01-01T11:00:00,20.5,220,"03680099999,D4121,03672099999",obs
2023-01-01T12:00:00,22.3,220,"03680099999,D4121,03672099999",obs
2023-01-01T13:00:00,20.5,210,"03680099999,D4121,03672099999",obs
2023-01-01T14:00:00,18.4,210,"03680099999,D4121,03672099999",obs
2023-01-01T15:00:00,18.4,210,"03680099999,D4121,03672099999",obs
2023-01-01T16:00:00,16.6,210,"03680099999,D4121,03672099999",obs
2023-01-01T17:00:00,20.5,250,"03680099999,03672099999",obs
2023-01-01T18:00:00,5.4,270,"03680099999,03672099999",obs
2023-01-01T19:00:00,3.6,130,"03680099999,03672099999",obs
2023-01-01T20:00:00,5.4,260,"03680099999,03672099999",obs
2023-01-01T21:00:00,1.8,300,"03680099999,03672099999",obs
2023-01-01T22:00:00,1.8,260,"03680099999,03672099999",obs
2023-01-01T23:00:00,7.6,230,"03680099999,03672099999",obs
2023-01-02T00:00:00,5.4,210,"03680099999,03672099999",obs
2023-01-02T01:00:00,3.6,230,"03680099999,03672099999",obs
2023-01-02T02:00:00,9.4,240,"03680099999,03672099999",obs
2023-01-02T03:00:00,9.4,240,"03680099999,03672099999",obs
2023-01-02T04:00:00,5.4,240,"03680099999,03672099999",obs
2023-01-02T05:00:00,3.6,210,"03680099999,03672099999",obs
2023-01-02T06:00:00,5.4,230,"03680099999,03672099999",obs
2023-01-02T07:00:00,7.6,240,"03680099999,03672099999",obs
2023-01-02T08:00:00,7.6,250,"03680099999,03672099999",obs
2023-01-02T09:00:00,1.8,360,"03680099999,D4121,03672099999",obs
2023-01-02T10:00:00,0,268.7,"03680099999,D4121,03672099999",obs
2023-01-02T11:00:00,11.2,290,"03680099999,D4121,03672099999",obs
2023-01-02T12:00:00,13,290,"03680099999,D4121,03672099999",obs
2023-01-02T13:00:00,14.8,280,"03680099999,D4121,03672099999",obs
2023-01-02T14:00:00,16.6,300,"03680099999,D4121,03672099999",obs
2023-01-02T15:00:00,11.2,280,"03680099999,D4121,03672099999",obs
2023-01-02T16:00:00,9.4,270,"03680099999,D4121,03672099999",obs
2023-01-02T17:00:00,3.6,230,"03680099999,03672099999",obs
2023-01-02T18:00:00,0,218.9,"03680099999,03672099999",obs
2023-01-02T19:00:00,0,204.1,"03680099999,03672099999",obs
2023-01-02T20:00:00,3.6,190,"03680099999,03672099999",obs
2023-01-02T21:00:00,0,175.6,"03680099999,03672099999",obs
2023-01-02T22:00:00,1.8,90,"03680099999,03672099999",obs
2023-01-02T23:00:00,3.6,80,"03680099999,03672099999",obs
2023-01-03T00:00:00,1.8,50,"03680099999,03672099999",obs
2023-01-03T01:00:00,3.6,350,"03680099999,03672099999",obs
2023-01-03T02:00:00,0,123.6,"03680099999,03672099999",obs
2023-01-03T03:00:00,0,139.6,"03680099999,03672099999",obs
2023-01-03T04:00:00,0,157.6,"03680099999,03672099999",obs
2023-01-03T05:00:00,1.8,120,"03680099999,03672099999",obs
2023-01-03T06:00:00,3.6,160,"03680099999,03672099999",obs
2023-01-03T07:00:00,9.4,160,"03680099999,03672099999",obs
2023-01-03T08:00:00,11.2,170,"03680099999,03672099999",obs
2023-01-03T09:00:00,16.6,190,"03680099999,D4121,03672099999",obs
2023-01-03T10:00:00,22.3,190,"03680099999,D4121,03672099999",obs
2023-01-03T11:00:00,22.3,200,"03680099999,D4121,03672099999",obs
2023-01-03T12:00:00,22.3,190,"03680099999,D4121,03672099999",obs
2023-01-03T13:00:00,25.9,200,"03680099999,D4121,03672099999",obs
2023-01-03T14:00:00,22.3,200,"03680099999,D4121,03672099999",obs
2023-01-03T15:00:00,20.5,210,"03680099999,D4121,03672099999",obs
2023-01-03T16:00:00,22.3,200,"03680099999,03672099999,E6281",obs
2023-01-03T17:00:00,25.9,200,"03680099999,03672099999",obs
2023-01-03T18:00:00,27.7,200,"03680099999,03672099999",obs
2023-01-03T19:00:00,29.5,210,"03680099999,03672099999",obs
2023-01-03T20:00:00,25.9,210,"03680099999,03672099999",obs
2023-01-03T21:00:00,22.3,210,"03680099999,03672099999",obs
2023-01-03T22:00:00,25.9,230,"03680099999,03672099999",obs
2023-01-03T23:00:00,25.9,230,"03680099999,03672099999",obs
2023-01-04T00:00:00,31.7,230,"03680099999,03672099999",obs
2023-01-04T01:00:00,29.5,240,"03680099999,03672099999",obs
2023-01-04T02:00:00,29.5,230,"03680099999,03672099999",obs
2023-01-04T03:00:00,29.5,230,"03680099999,03672099999",obs
2023-01-04T04:00:00,27.7,230,"03680099999,03672099999",obs
2023-01-04T05:00:00,25.9,240,"03680099999,03672099999",obs
2023-01-04T06:00:00,24.1,230,"03680099999,03672099999",obs
2023-01-04T07:00:00,24.1,240,"03680099999,03672099999",obs
2023-01-04T08:00:00,25.9,250,"03680099999,03672099999",obs
2023-01-04T09:00:00,20.5,260,"03680099999,D4121,03672099999",obs
2023-01-04T10:00:00,27.7,250,"03680099999,D4121,03672099999",obs
2023-01-04T11:00:00,24.1,250,"03680099999,D4121,03672099999",obs
2023-01-04T12:00:00,31.7,250,"03680099999,D4121,03672099999",obs
2023-01-04T13:00:00,38.9,260,"03680099999,D4121,03672099999",obs
2023-01-04T14:00:00,38.9,270,"03680099999,D4121,03672099999",obs
2023-01-04T15:00:00,31.7,260,"03680099999,D4121,03672099999",obs
2023-01-04T16:00:00,25.9,250,"03680099999,D4121,03672099999",obs
2023-01-04T17:00:00,33.5,270,"03680099999,03672099999",obs
2023-01-04T18:00:00,22.3,260,"03680099999,03672099999",obs
2023-01-04T19:00:00,24.1,260,"03680099999,03672099999",obs
2023-01-04T20:00:00,18.4,260,"03680099999,03672099999",obs
2023-01-04T21:00:00,18.4,250,"03680099999,03672099999",obs
2023-01-04T22:00:00,24.1,260,"03680099999,03672099999",obs
2023-01-04T23:00:00,22.3,260,"03680099999,03672099999",obs
2023-01-05T00:00:00,20.5,250,"03680099999,03672099999",obs
2023-01-05T01:00:00,20.5,250,"03680099999,03672099999",obs
2023-01-05T02:00:00,9.4,250,"03680099999,03672099999",obs
2023-01-05T03:00:00,16.6,240,"03680099999,03672099999",obs
2023-01-05T04:00:00,9.4,240,"03680099999,03672099999",obs
2023-01-05T05:00:00,11.2,250,"03680099999,03672099999",obs
2023-01-05T06:00:00,13,240,"03680099999,03672099999",obs
2023-01-05T07:00:00,14.8,230,"03680099999,03672099999",obs
2023-01-05T08:00:00,11.2,220,"03680099999,03672099999",obs
2023-01-05T09:00:00,14.8,220,"03680099999,D4121,03672099999",obs
2023-01-05T10:00:00,13,220,"03680099999,D4121,03672099999",obs
2023-01-05T11:00:00,16.6,240,"03680099999,D4121,03672099999",obs
2023-01-05T12:00:00,22.3,250,"03680099999,D4121,03672099999",obs
