Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M25/5231B,01/01/2023 00:00:00,00:14:00,0,29,10,1,1,,,,,,,,,,,,,,,64,41
M25/5231B,01/01/2023 00:00:00,00:29:00,1,40,9,1,5,,,,,,,,,,,,,,,64,55
M25/5231B,01/01/2023 00:00:00,00:44:00,2,50,11,4,0,,,,,,,,,,,,,,,66,65
M25/5231B,01/01/2023 00:00:00,00:59:00,3,75,12,0,0,,,,,,,,,,,,,,,67,87
M25/5231B,01/01/2023 00:00:00,01:14:00,4,99,17,1,3,,,,,,,,,,,,,,,66,120
M25/5231B,01/01/2023 00:00:00,01:29:00,5,102,8,0,1,,,,,,,,,,,,,,,66,111
M25/5231B,01/01/2023 00:00:00,01:44:00,6,79,18,3,3,,,,,,,,,,,,,,,65,103
M25/5231B,01/01/2023 00:00:00,01:59:00,7,56,11,0,0,,,,,,,,,,,,,,,68,67
M25/5231B,01/01/2023 00:00:00,02:14:00,8,62,19,3,0,,,,,,,,,,,,,,,66,84
M25/5231B,01/01/2023 00:00:00,02:29:00,9,51,26,2,3,,,,,,,,,,,,,,,67,82
M25/5231B,01/01/2023 00:00:00,02:44:00,10,43,13,0,1,,,,,,,,,,,,,,,68,57
M25/5231B,01/01/2023 00:00:00,02:59:00,11,57,12,2,1,,,,,,,,,,,,,,,66,72
M25/5231B,01/01/2023 00:00:00,03:14:00,12,32,9,3,0,,,,,,,,,,,,,,,65,44
M25/5231B,01/01/2023 00:00:00,03:29:00,13,36,11,0,1,,,,,,,,,,,,,,,67,48
M25/5231B,01/01/2023 00:00:00,03:44:00,14,28,9,1,2,,,,,,,,,,,,,,,63,40
M25/5231B,01/01/2023 00:00:00,03:59:00,15,38,7,1,1,,,,,,,,,,,,,,,65,47
M25/5231B,01/01/2023 00:00:00,04:14:00,16,27,5,1,1,,,,,,,,,,,,,,,56,34
M25/5231B,01/01/2023 00:00:00,04:29:00,17,35,16,1,1,,,,,,,,,,,,,,,55,53
M25/5231B,01/01/2023 00:00:00,04:44:00,18,25,8,2,2,,,,,,,,,,,,,,,57,37
M25/5231B,01/01/2023 00:00:00,04:59:00,19,21,18,0,1,,,,,,,,,,,,,,,60,40
M25/5231B,01/01/2023 00:00:00,05:14:00,20,32,13,0,2,,,,,,,,,,,,,,,67,47
M25/5231B,01/01/2023 00:00:00,05:29:00,21,28,21,0,2,,,,,,,,,,,,,,,65,51
M25/5231B,01/01/2023 00:00:00,05:44:00,22,49,16,1,2,,,,,,,,,,,,,,,66,68
M25/5231B,01/01/2023 00:00:00,05:59:00,23,55,18,1,1,,,,,,,,,,,,,,,64,75
M25/5231B,01/01/2023 00:00:00,06:14:00,24,49,7,2,5,,,,,,,,,,,,,,,62,63
M25/5231B,01/01/2023 00:00:00,06:29:00,25,55,15,0,4,,,,,,,,,,,,,,,65,74
M25/5231B,01/01/2023 00:00:00,06:44:00,26,59,16,2,7,,,,,,,,,,,,,,,65,84
M25/5231B,01/01/2023 00:00:00,06:59:00,27,51,15,1,1,,,,,,,,,,,,,,,66,68
M25/5231B,01/01/2023 00:00:00,07:14:00,28,54,12,0,1,,,,,,,,,,,,,,,65,67
M25/5231B,01/01/2023 00:00:00,07:29:00,29,50,15,2,5,,,,,,,,,,,,,,,63,72
M25/5231B,01/01/2023 00:00:00,07:44:00,30,71,14,0,8,,,,,,,,,,,,,,,66,93
M25/5231B,01/01/2023 00:00:00,07:59:00,31,70,19,2,2,,,,,,,,,,,,,,,68,93
M25/5231B,01/01/2023 00:00:00,08:14:00,32,84,36,2,0,,,,,,,,,,,,,,,65,122
M25/5231B,01/01/2023 00:00:00,08:29:00,33,94,21,0,2,,,,,,,,,,,,,,,64,117
M25/5231B,01/01/2023 00:00:00,08:44:00,34,91,17,1,3,,,,,,,,,,,,,,,66,112
M25/5231B,01/01/2023 00:00:00,08:59:00,35,104,30,2,7,,,,,,,,,,,,,,,67,143
M25/5231B,01/01/2023 00:00:00,09:14:00,36,113,26,2,4,,,,,,,,,,,,,,,67,145
M25/5231B,01/01/2023 00:00:00,09:29:00,37,137,30,2,4,,,,,,,,,,,,,,,69,173
M25/5231B,01/01/2023 00:00:00,09:44:00,38,153,34,5,5,,,,,,,,,,,,,,,68,197
M25/5231B,01/01/2023 00:00:00,09:59:00,39,163,37,5,12,,,,,,,,,,,,,,,67,217
M25/5231B,01/01/2023 00:00:00,10:14:00,40,194,40,1,4,,,,,,,,,,,,,,,68,239
M25/5231B,01/01/2023 00:00:00,10:29:00,41,204,39,2,5,,,,,,,,,,,,,,,68,250
M25/5231B,01/01/2023 00:00:00,10:44:00,42,231,54,6,4,,,,,,,,,,,,,,,68,295
M25/5231B,01/01/2023 00:00:00,10:59:00,43,250,58,7,3,,,,,,,,,,,,,,,68,318
M25/5231B,01/01/2023 00:00:00,11:14:00,44,278,54,1,4,,,,,,,,,,,,,,,68,337
M25/5231B,01/01/2023 00:00:00,11:29:00,45,224,43,2,5,,,,,,,,,,,,,,,67,274
M25/5231B,01/01/2023 00:00:00,11:44:00,46,402,88,7,5,,,,,,,,,,,,,,,67,502
M25/5231B,01/01/2023 00:00:00,11:59:00,47,341,80,2,4,,,,,,,,,,,,,,,68,427
M25/5231B,01/01/2023 00:00:00,12:14:00,48,379,78,5,3,,,,,,,,,,,,,,,68,465
M25/5231B,01/01/2023 00:00:00,12:29:00,49,384,87,5,1,,,,,,,,,,,,,,,68,477
M25/5231B,01/01/2023 00:00:00,12:44:00,50,432,75,4,5,,,,,,,,,,,,,,,67,516
M25/5231B,01/01/2023 00:00:00,12:59:00,51,385,96,5,5,,,,,,,,,,,,,,,68,491
M25/5231B,01/01/2023 00:00:00,13:14:00,52,403,79,4,7,,,,,,,,,,,,,,,67,493
M25/5231B,01/01/2023 00:00:00,13:29:00,53,420,86,4,6,,,,,,,,,,,,,,,67,516
M25/5231B,01/01/2023 00:00:00,13:44:00,54,363,92,3,13,,,,,,,,,,,,,,,66,471
M25/5231B,01/01/2023 00:00:00,13:59:00,55,434,74,3,7,,,,,,,,,,,,,,,67,518
M25/5231B,01/01/2023 00:00:00,14:14:00,56,364,79,4,10,,,,,,,,,,,,,,,68,457
M25/5231B,01/01/2023 00:00:00,14:29:00,57,406,69,8,4,,,,,,,,,,,,,,,68,487
M25/5231B,01/01/2023 00:00:00,14:44:00,58,424,76,5,3,,,,,,,,,,,,,,,67,508
M25/5231B,01/01/2023 00:00:00,14:59:00,59,429,77,4,5,,,,,,,,,,,,,,,67,515
M25/5231B,01/01/2023 00:00:00,15:14:00,60,431,76,7,5,,,,,,,,,,,,,,,67,519
M25/5231B,01/01/2023 00:00:00,15:29:00,61,380,86,1,4,,,,,,,,,,,,,,,67,471
M25/5231B,01/01/2023 00:00:00,15:44:00,62,358,84,2,7,,,,,,,,,,,,,,,68,451
M25/5231B,01/01/2023 00:00:00,15:59:00,63,341,82,4,9,,,,,,,,,,,,,,,66,436
M25/5231B,01/01/2023 00:00:00,16:14:00,64,377,91,3,8,,,,,,,,,,,,,,,67,479
M25/5231B,01/01/2023 00:00:00,16:29:00,65,422,94,3,3,,,,,,,,,,,,,,,67,522
M25/5231B,01/01/2023 00:00:00,16:44:00,66,430,83,5,7,,,,,,,,,,,,,,,66,525
M25/5231B,01/01/2023 00:00:00,16:59:00,67,445,97,7,5,,,,,,,,,,,,,,,66,554
M25/5231B,01/01/2023 00:00:00,17:14:00,68,483,97,1,2,,,,,,,,,,,,,,,65,583
M25/5231B,01/01/2023 00:00:00,17:29:00,69,429,100,6,8,,,,,,,,,,,,,,,64,543
M25/5231B,01/01/2023 00:00:00,17:44:00,70,389,111,3,10,,,,,,,,,,,,,,,64,513
M25/5231B,01/01/2023 00:00:00,17:59:00,71,399,98,3,14,,,,,,,,,,,,,,,64,514
M25/5231B,01/01/2023 00:00:00,18:14:00,72,334,69,3,9,,,,,,,,,,,,,,,62,415
M25/5231B,01/01/2023 00:00:00,18:29:00,73,335,72,6,9,,,,,,,,,,,,,,,63,422
M25/5231B,01/01/2023 00:00:00,18:44:00,74,309,62,8,4,,,,,,,,,,,,,,,63,383
M25/5231B,01/01/2023 00:00:00,18:59:00,75,293,60,6,8,,,,,,,,,,,,,,,61,367
M25/5231B,01/01/2023 00:00:00,19:14:00,76,274,50,3,7,,,,,,,,,,,,,,,64,334
M25/5231B,01/01/2023 00:00:00,19:29:00,77,235,54,3,6,,,,,,,,,,,,,,,64,298
M25/5231B,01/01/2023 00:00:00,19:44:00,78,247,42,2,4,,,,,,,,,,,,,,,64,295
M25/5231B,01/01/2023 00:00:00,19:59:00,79,211,43,4,6,,,,,,,,,,,,,,,64,264
M25/5231B,01/01/2023 00:00:00,20:14:00,80,191,45,3,4,,,,,,,,,,,,,,,64,243
M25/5231B,01/01/2023 00:00:00,20:29:00,81,215,37,5,6,,,,,,,,,,,,,,,65,263
M25/5231B,01/01/2023 00:00:00,20:44:00,82,188,27,0,4,,,,,,,,,,,,,,,66,219
M25/5231B,01/01/2023 00:00:00,20:59:00,83,171,44,3,4,,,,,,,,,,,,,,,66,222
M25/5231B,01/01/2023 00:00:00,21:14:00,84,142,33,2,7,,,,,,,,,,,,,,,66,184
M25/5231B,01/01/2023 00:00:00,21:29:00,85,149,30,4,3,,,,,,,,,,,,,,,66,186
M25/5231B,01/01/2023 00:00:00,21:44:00,86,138,32,1,7,,,,,,,,,,,,,,,66,178
M25/5231B,01/01/2023 00:00:00,21:59:00,87,109,23,2,6,,,,,,,,,,,,,,,66,140
M25/5231B,01/01/2023 00:00:00,22:14:00,88,97,24,0,10,,,,,,,,,,,,,,,65,131
M25/5231B,01/01/2023 00:00:00,22:29:00,89,97,22,3,9,,,,,,,,,,,,,,,65,131
M25/5231B,01/01/2023 00:00:00,22:44:00,90,80,13,1,9,,,,,,,,,,,,,,,65,103
M25/5231B,01/01/2023 00:00:00,22:59:00,91,86,18,2,5,,,,,,,,,,,,,,,64,111
