End Date;End Time;NO2
01/01/2023;01:00:00;7.32014
01/01/2023;02:00:00;7.64017
01/01/2023;03:00:00;7.16803
01/01/2023;04:00:00;5.50254
01/01/2023;05:00:00;4.25529
01/01/2023;06:00:00;3.58547
01/01/2023;07:00:00;6.85008
01/01/2023;08:00:00;7.88717
01/01/2023;09:00:00;7.31765
01/01/2023;10:00:00;9.13358
01/01/2023;11:00:00;11.78892
01/01/2023;12:00:00;17.26003
01/01/2023;13:00:00;16.11058
01/01/2023;14:00:00;17.70264
01/01/2023;15:00:00;19.48007
01/01/2023;16:00:00;18.98672
01/01/2023;17:00:00;25.52302
01/01/2023;18:00:00;18.46901
01/01/2023;19:00:00;37.74724
01/01/2023;20:00:00;35.32102
01/01/2023;21:00:00;36.16458
01/01/2023;22:00:00;26.85684
01/01/2023;23:00:00;23.17856
01/01/2023;24:00:00;18.87062
02/01/2023;01:00:00;19.72726
02/01/2023;02:00:00;19.23553
02/01/2023;03:00:00;10.80209
02/01/2023;04:00:00;9.45283
02/01/2023;05:00:00;10.02687
02/01/2023;06:00:00;10.87045
02/01/2023;07:00:00;23.25340
02/01/2023;08:00:00;26.81736
02/01/2023;09:00:00;35.17916
02/01/2023;10:00:00;37.85012
02/01/2023;11:00:00;31.42324
02/01/2023;12:00:00;32.43218
02/01/2023;13:00:00;33.75154
02/01/2023;14:00:00;41.32080
02/01/2023;15:00:00;43.19645
02/01/2023;16:00:00;64.32348
02/01/2023;17:00:00;62.71292
02/01/2023;18:00:00;54.08431
02/01/2023;19:00:00;50.31456
02/01/2023;20:00:00;59.28115
02/01/2023;21:00:00;55.39735
02/01/2023;22:00:00;55.47669
02/01/2023;23:00:00;55.58183
02/01/2023;24:00:00;52.38213
03/01/2023;01:00:00;42.16313
03/01/2023;02:00:00;35.65847
03/01/2023;03:00:00;39.23357
03/01/2023;04:00:00;41.33071
03/01/2023;05:00:00;47.55351
03/01/2023;06:00:00;45.23443
03/01/2023;07:00:00;36.15936
03/01/2023;08:00:00;31.99999
03/01/2023;09:00:00;25.89637
03/01/2023;10:00:00;19.18917
03/01/2023;11:00:00;14.04072
03/01/2023;12:00:00;12.53564
03/01/2023;13:00:00;13.21392
03/01/2023;14:00:00;15.15903
03/01/2023;15:00:00;16.30695
03/01/2023;16:00:00;15.83215
03/01/2023;17:00:00;15.05171
03/01/2023;18:00:00;13.96217
03/01/2023;19:00:00;11.82475
03/01/2023;20:00:00;14.89588
03/01/2023;21:00:00;16.30394
03/01/2023;22:00:00;12.75888
03/01/2023;23:00:00;10.68284
03/01/2023;24:00:00;7.86585
04/01/2023;01:00:00;4.75336
04/01/2023;02:00:00;4.90590
04/01/2023;03:00:00;3.50034
04/01/2023;04:00:00;4.12881
04/01/2023;05:00:00;8.45781
04/01/2023;06:00:00;9.83100
04/01/2023;07:00:00;17.85170
04/01/2023;08:00:00;34.64707
04/01/2023;09:00:00;31.99459
04/01/2023;10:00:00;19.32411
04/01/2023;11:00:00;24.30688
04/01/2023;12:00:00;20.47695
04/01/2023;13:00:00;21.06607
04/01/2023;14:00:00;19.83757
04/01/2023;15:00:00;24.18314
04/01/2023;16:00:00;28.71747
04/01/2023;17:00:00;31.35285
04/01/2023;18:00:00;33.52764
04/01/2023;19:00:00;38.33127
04/01/2023;20:00:00;26.96495
04/01/2023;21:00:00;36.41146
04/01/2023;22:00:00;27.03764
04/01/2023;23:00:00;22.45078
04/01/2023;24:00:00;14.57869
05/01/2023;01:00:00;9.96160
05/01/2023;02:00:00;7.01881
05/01/2023;03:00:00;10.15882
05/01/2023;04:00:00;11.50391
05/01/2023;05:00:00;13.03048
05/01/2023;06:00:00;21.22442
05/01/2023;07:00:00;33.41328
05/01/2023;08:00:00;41.70072
05/01/2023;09:00:00;42.01716
05/01/2023;10:00:00;37.78068
05/01/2023;11:00:00;32.59359
05/01/2023;12:00:00;27.40337
05/01/2023;13:00:00;30.49130
05/01/2023;14:00:00;37.43323
05/01/2023;15:00:00;38.51129
05/01/2023;16:00:00;40.13604
05/01/2023;17:00:00;40.32816
05/01/2023;18:00:00;31.84084
05/01/2023;19:00:00;31.04996
05/01/2023;20:00:00;20.93036
05/01/2023;21:00:00;13.63588
05/01/2023;22:00:00;12.57488
05/01/2023;23:00:00;13.03735
05/01/2023;24:00:00;8.30119
06/01/2023;01:00:00;6.11979
06/01/2023;02:00:00;7.65436
06/01/2023;03:00:00;9.63031
06/01/2023;04:00:00;10.62008
06/01/2023;05:00:00;17.83442
06/01/2023;06:00:00;24.38434
06/01/2023;07:00:00;35.84631
06/01/2023;08:00:00;45.43083
06/01/2023;09:00:00;52.21005
06/01/2023;10:00:00;42.40032
06/01/2023;11:00:00;35.07770
06/01/2023;12:00:00;34.86554
06/01/2023;13:00:00;30.33156
06/01/2023;14:00:00;30.30006
06/01/2023;15:00:00;25.11070
06/01/2023;16:00:00;30.98684
06/01/2023;17:00:00;28.35326
06/01/2023;18:00:00;27.46867
06/01/2023;19:00:00;20.73894
06/01/2023;20:00:00;20.74254
06/01/2023;21:00:00;14.56611
06/01/2023;22:00:00;10.50230
06/01/2023;23:00:00;7.36622
06/01/2023;24:00:00;6.15978
07/01/2023;01:00:00;4.75670
07/01/2023;02:00:00;4.80753
07/01/2023;03:00:00;3.34302
07/01/2023;04:00:00;3.13724
07/01/2023;05:00:00;3.24135
07/01/2023;06:00:00;3.55230
07/01/2023;07:00:00;3.81516
07/01/2023;08:00:00;5.22381
07/01/2023;09:00:00;5.74861
07/01/2023;10:00:00;6.58802
07/01/2023;11:00:00;8.88829
07/01/2023;12:00:00;9.83576
07/01/2023;13:00:00;10.42008
07/01/2023;14:00:00;9.89025
07/01/2023;15:00:00;15.09109
07/01/2023;16:00:00;20.99266
07/01/2023;17:00:00;16.69669
07/01/2023;18:00:00;24.35441
07/01/2023;19:00:00;21.13682
07/01/2023;20:00:00;17.23428
07/01/2023;21:00:00;15.95713
07/01/2023;22:00:00;16.16093
07/01/2023;23:00:00;17.81645
07/01/2023;24:00:00;13.42976
08/01/2023;01:00:00;7.37680
08/01/2023;02:00:00;6.22311
08/01/2023;03:00:00;5.44228
08/01/2023;04:00:00;3.08774
08/01/2023;05:00:00;4.34458
08/01/2023;06:00:00;4.65543
08/01/2023;07:00:00;6.75325
08/01/2023;08:00:00;11.52203
08/01/2023;09:00:00;9.10918
08/01/2023;10:00:00;9.00557
08/01/2023;11:00:00;10.52979
08/01/2023;12:00:00;23.95921
08/01/2023;13:00:00;17.41030
08/01/2023;14:00:00;36.30193
08/01/2023;15:00:00;20.66551
08/01/2023;16:00:00;16.65207
08/01/2023;17:00:00;16.19043
08/01/2023;18:00:00;26.05054
08/01/2023;19:00:00;29.03177
08/01/2023;20:00:00;21.98517
08/01/2023;21:00:00;32.29522
08/01/2023;22:00:00;29.45168
