datetime,windgust,windspeed,winddir
2023-01-01T00:00:00,39.8,23.6,220
2023-01-01T01:00:00,36.9,25.6,230
2023-01-01T02:00:00,43.3,28.9,234
2023-01-01T03:00:00,34.1,23.8,230
2023-01-01T04:00:00,32.7,20.2,224
2023-01-01T05:00:00,32.9,19.6,220
2023-01-01T06:00:00,43.5,23.6,223
2023-01-01T07:00:00,35.7,23,227
2023-01-01T08:00:00,35.3,24.1,223
2023-01-01T09:00:00,27.7,22.8,239
2023-01-01T10:00:00,32.1,20.1,225
2023-01-01T11:00:00,35.7,22.2,220
2023-01-01T12:00:00,35.9,24,217
2023-01-01T13:00:00,34.9,22.2,210
2023-01-01T14:00:00,37.1,20.7,210
2023-01-01T15:00:00,32.1,20.2,210
2023-01-01T16:00:00,25.9,18.3,204
2023-01-01T17:00:00,25.9,16.4,222
2023-01-01T18:00:00,15.1,7.7,261
2023-01-01T19:00:00,10.2,8.8,198
2023-01-01T20:00:00,8,7.3,254
2023-01-01T21:00:00,7.8,5.9,291
2023-01-01T22:00:00,7.8,5.2,285
2023-01-01T23:00:00,9.4,7.4,230
2023-01-02T00:00:00,6.4,6.6,219
2023-01-02T01:00:00,8,5.9,230
2023-01-02T02:00:00,15.4,11,234
2023-01-02T03:00:00,14.4,9.3,228
2023-01-02T04:00:00,14.6,7.8,231
2023-01-02T05:00:00,14.6,8.7,213
2023-01-02T06:00:00,14.3,10.1,224
2023-01-02T07:00:00,14.4,12.5,231
2023-01-02T08:00:00,13.4,10.9,241
2023-01-02T09:00:00,8.6,5.9,301
2023-01-02T10:00:00,13,8,275
2023-01-02T11:00:00,19.1,12.8,290
2023-01-02T12:00:00,21.5,14.1,290
2023-01-02T13:00:00,19.6,15.3,280
2023-01-02T14:00:00,19.6,15.4,285
2023-01-02T15:00:00,21.5,14.5,277
2023-01-02T16:00:00,13.8,11.6,267
2023-01-02T17:00:00,9.6,8.2,236
2023-01-02T18:00:00,5.2,5.7,210
2023-01-02T19:00:00,5.2,5.7,215
2023-01-02T20:00:00,8,7.7,196
2023-01-02T21:00:00,6,5.7,185
2023-01-02T22:00:00,5.4,4.1,139
2023-01-02T23:00:00,11.2,6.5,123
2023-01-03T00:00:00,7.8,3.5,75
2023-01-03T01:00:00,9.4,4.8,58
2023-01-03T02:00:00,11.2,4.5,120
2023-01-03T03:00:00,8.4,4.6,170
2023-01-03T04:00:00,8.6,4.5,170
